ENTREVISTA,REGIAO,UF,MUNICIPIO,qtd_geladeira,kwh_geladeira,qtd_chuveiro_eletrico,kwh_chuveiro_eletrico,qtd_ventilador,kwh_ventilador
66691,Sudeste,SP,São Paulo,1.0,45.0,1.0,137.50000000000003,1.0,0.10500000000000001
66693,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,65.625,3.0,106.596
66694,Sudeste,SP,São Paulo,1.0,45.0,1.0,244.12500000000003,0.0,0.0
66696,Sudeste,SP,São Paulo,1.0,45.0,1.0,44.0,1.0,0.12716666666666668
66697,Sudeste,MG,Governador Valadares,1.0,45.0,1.0,22.0,3.0,38.07
66699,Sudeste,SP,São Paulo,1.0,45.0,2.0,33.75,0.0,0.0
66700,Sudeste,MG,Governador Valadares,1.0,45.0,2.0,176.0,2.0,35.532000000000004
66701,Sudeste,MG,Governador Valadares,1.0,45.0,1.0,55.0,2.0,35.532000000000004
66703,Sudeste,SP,São Paulo,1.0,45.0,2.0,496.00000000000006,1.0,5.922000000000001
66704,Sudeste,SP,São Paulo,1.0,45.0,2.0,256.0,1.0,8.46
