ENTREVISTA,REGIAO,UF,MUNICIPIO,qtd_geladeira,kwh_geladeira,qtd_chuveiro_eletrico,kwh_chuveiro_eletrico,qtd_ventilador,kwh_ventilador
66216,Sudeste,MG,Belo Horizonte,1.0,45.0,3.0,288.0,0.0,0.0
66217,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,198.0,1.0,17.766000000000002
66218,Sudeste,RJ,São Gonçalo,1.0,45.0,1.0,16.0,1.0,47.376000000000005
66219,Sudeste,RJ,São Gonçalo,1.0,45.0,1.0,48.0,2.0,2.9939
66220,Sudeste,RJ,São Gonçalo,3.0,135.0,4.0,192.0,2.0,2.9939
66222,Sudeste,RJ,Rio de Janeiro,1.0,45.0,1.0,0.0,1.0,2.9610000000000003
66223,Sudeste,RJ,Rio de Janeiro,1.0,45.0,1.0,20.0,1.0,9.870000000000001
66224,Sudeste,RJ,Rio de Janeiro,1.0,45.0,1.0,6.875,1.0,17.766000000000002
66225,Sudeste,RJ,Rio de Janeiro,1.0,45.0,2.0,216.0,0.0,0.0
66226,Sudeste,RJ,Rio de Janeiro,1.0,45.0,2.0,41.25,1.0,2.0580000000000003
