ENTREVISTA,REGIAO,UF,MUNICIPIO,qtd_geladeira,kwh_geladeira,kwh_categoria_refrigeracao
72459,Sul,SC,Criciúma,1.0,45.0,45.0
72460,Sul,SC,Criciúma,1.0,45.0,45.0
72475,Sudeste,MG,Uberlândia,1.0,45.0,45.0
72476,Sul,RS,Canoas,1.0,45.0,45.0
72477,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72478,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72479,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72480,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72481,Sul,RS,Canoas,1.0,45.0,45.0
72482,Sul,RS,Canoas,1.0,45.0,45.0
72484,Sul,RS,Canoas,1.0,45.0,45.0
72485,Sul,RS,Canoas,1.0,45.0,45.0
72486,Sul,RS,Canoas,1.0,45.0,45.0
72487,Sul,RS,Canoas,1.0,45.0,45.0
72488,Sul,RS,Canoas,1.0,45.0,45.0
72489,Sudeste,RJ,Rio de Janeiro,1.0,45.0,45.0
72490,Sudeste,RJ,Rio de Janeiro,1.0,45.0,45.0
72491,Sudeste,RJ,Rio de Janeiro,1.0,45.0,45.0
72492,Sul,RS,Canoas,1.0,45.0,45.0
72493,Centro-Oeste,MS,Campo Grande,1.0,45.0,45.0
72495,Centro-Oeste,MS,Campo Grande,1.0,45.0,45.0
72496,Centro-Oeste,MS,Campo Grande,1.0,45.0,45.0
72497,Centro-Oeste,MS,Campo Grande,1.0,45.0,45.0
72498,Centro-Oeste,MS,Campo Grande,1.0,45.0,45.0
