ENTREVISTA,REGIAO,UF,MUNICIPIO,qtd_geladeira,kwh_geladeira,kwh_categoria_refrigeracao
73217,Sudeste,RJ,Duque de Caxias,1.0,45.0,45.0
73218,Sudeste,RJ,Duque de Caxias,1.0,45.0,45.0
73219,Sudeste,RJ,Duque de Caxias,1.0,45.0,45.0
73220,Sudeste,RJ,Duque de Caxias,1.0,45.0,45.0
73221,Sudeste,RJ,Duque de Caxias,1.0,45.0,45.0
73222,Sudeste,RJ,Duque de Caxias,2.0,90.0,90.0
73223,Sudeste,RJ,Duque de Caxias,1.0,45.0,45.0
73224,Sudeste,RJ,Duque de Caxias,1.0,45.0,45.0
73225,Sudeste,RJ,Duque de Caxias,2.0,90.0,90.0
73226,Sul,RS,Pelotas,1.0,45.0,45.0
73227,Sul,RS,Pelotas,1.0,45.0,45.0
73228,Sul,RS,Pelotas,1.0,45.0,45.0
73229,Sul,RS,Pelotas,1.0,45.0,45.0
73230,Sul,RS,Pelotas,1.0,45.0,45.0
73231,Sul,RS,Pelotas,1.0,45.0,45.0
73232,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73233,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73234,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73235,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73236,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73237,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73238,Sul,RS,Bagé,1.0,45.0,45.0
73239,Sul,RS,Bagé,1.0,45.0,45.0
73240,Sul,RS,Bagé,1.0,45.0,45.0
73241,Sul,RS,Bagé,1.0,45.0,45.0
73242,Sul,RS,Bagé,1.0,45.0,45.0
73243,Sul,RS,Bagé,1.0,45.0,45.0
73244,Sul,RS,Bagé,1.0,45.0,45.0
73245,Sul,RS,Bagé,1.0,45.0,45.0
73246,Sul,RS,Bagé,1.0,45.0,45.0
73247,Sul,SC,Chapecó,1.0,45.0,45.0
73248,Sul,SC,Chapecó,1.0,45.0,45.0
73249,Sul,SC,Chapecó,1.0,45.0,45.0
73250,Sul,SC,Chapecó,1.0,45.0,45.0
73251,Sul,SC,Chapecó,1.0,45.0,45.0
73252,Sul,SC,Chapecó,1.0,45.0,45.0
73253,Sul,SC,Chapecó,1.0,45.0,45.0
73254,Sul,SC,Chapecó,2.0,90.0,90.0
73255,Sul,SC,Chapecó,1.0,45.0,45.0
73256,Sul,SC,Chapecó,1.0,45.0,45.0
73259,Sudeste,RJ,Volta Redonda,1.0,45.0,45.0
73260,Sudeste,RJ,Volta Redonda,1.0,45.0,45.0
73261,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73262,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73263,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73265,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73266,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73267,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73268,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73269,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73270,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73271,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73272,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73273,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73274,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73275,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73276,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73277,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73278,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73279,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73280,Sul,RS,Santa Cruz do Sul,1.0,45.0,45.0
73281,Sul,RS,Santa Cruz do Sul,1.0,45.0,45.0
73282,Sul,RS,Santa Cruz do Sul,1.0,45.0,45.0
73283,Sul,RS,Santa Cruz do Sul,1.0,45.0,45.0
73284,Sul,RS,Santa Cruz do Sul,1.0,45.0,45.0
73286,Sul,RS,Santa Cruz do Sul,1.0,45.0,45.0
73287,Sul,RS,Santa Cruz do Sul,1.0,45.0,45.0
73288,Sul,RS,Santa Cruz do Sul,1.0,45.0,45.0
73289,Sul,RS,Santa Cruz do Sul,1.0,45.0,45.0
73290,Sul,RS,Santa Cruz do Sul,1.0,45.0,45.0
73291,Sul,RS,Santa Cruz do Sul,1.0,45.0,45.0
73293,Sul,RS,Santa Cruz do Sul,1.0,45.0,45.0
73294,Sul,RS,Santa Cruz do Sul,1.0,45.0,45.0
73295,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73296,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73297,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73298,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73299,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73300,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73301,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73302,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73303,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73304,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73305,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73306,Sul,RS,Santa Cruz do Sul,1.0,45.0,45.0
73307,Sul,RS,Santa Cruz do Sul,1.0,45.0,45.0
73308,Sul,RS,Santa Cruz do Sul,1.0,45.0,45.0
73309,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73310,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73311,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73312,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73313,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73314,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73315,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73316,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73317,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73318,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73319,Sudeste,RJ,Volta Redonda,1.0,45.0,45.0
73320,Sudeste,RJ,Volta Redonda,1.0,45.0,45.0
73321,Sudeste,RJ,Volta Redonda,1.0,45.0,45.0
73322,Sudeste,RJ,Volta Redonda,1.0,45.0,45.0
73323,Sudeste,RJ,Volta Redonda,1.0,45.0,45.0
73324,Sudeste,RJ,Volta Redonda,1.0,45.0,45.0
73325,Sudeste,RJ,Volta Redonda,1.0,45.0,45.0
73326,Sudeste,RJ,Volta Redonda,1.0,45.0,45.0
73327,Sudeste,RJ,Volta Redonda,1.0,45.0,45.0
73328,Sul,RS,Passo Fundo,1.0,45.0,45.0
73329,Sul,RS,Caxias do Sul,1.0,45.0,45.0
