entrevista,regiao,uf,municipio,uso_horario_pico,horas_alto_consumo,consumo_total_kwh_mes,valor_estimado_conta_reais,produtos_maior_consumo,categoria_maior_consumo,quantidade_equipamentos,tipo_imovel
52641,Norte,RR,Boa Vista,False,3.7,59.01,44.26,Geladeira|Lâmpada Fluorescente|Ventilador,Refrigeração,30,Apartamento
52642,Norte,RR,Boa Vista,True,5.3,82.31,61.73,Geladeira|Notebook|Lâmpada LED,Refrigeração,53,Comercio
52643,Norte,RR,Boa Vista,True,11.6,53.86,40.39,Geladeira|Lâmpada Fluorescente|Lâmpada LED,Refrigeração,28,Apartamento
52647,Norte,RR,Boa Vista,True,11.5,109.23,81.92,Geladeira|Ventilador|Ventilador de Teto,Refrigeração,16,Apartamento
52649,Norte,RR,Boa Vista,True,5.8,62.65,46.99,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,18,Casa
52651,Norte,RR,Boa Vista,False,9.6,195.23,146.42,Fogão Elétrico|Ventilador|Geladeira,Eletrodomésticos,22,Casa
52652,Norte,RR,Boa Vista,False,11.0,131.58,98.68,Geladeira|Freezer|Ventilador,Refrigeração,16,Casa
52654,Norte,RR,Boa Vista,False,5.7,112.18,84.14,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,21,Casa
52655,Norte,RR,Boa Vista,True,10.1,95.54,71.66,Geladeira|Lâmpada Incandescente|Ventilador,Refrigeração,17,Apartamento
52656,Norte,RR,Boa Vista,False,10.8,114.37,85.78,Geladeira|Fogão Elétrico|Lâmpada Fluorescente,Refrigeração,17,Casa
52657,Norte,RR,Boa Vista,False,3.6,76.72,57.54,Geladeira|Lâmpada Incandescente|Ventilador,Refrigeração,11,Casa
52658,Norte,RR,Boa Vista,True,9.9,76.7,57.53,Geladeira|Lâmpada Incandescente|Ventilador,Refrigeração,20,Casa
52659,Norte,RR,Boa Vista,True,7.6,169.36,127.02,Ventilador|Geladeira|Lâmpada Incandescente,Climatização,18,Casa
52660,Norte,RR,Boa Vista,False,4.9,217.71,163.28,Geladeira|Bebedouro|Ventilador,Refrigeração,22,Casa
52661,Norte,RR,Boa Vista,True,5.4,84.56,63.42,Geladeira|Ventilador|Lâmpada Incandescente,Refrigeração,18,Casa
52663,Norte,RR,Boa Vista,False,2.5,178.11,133.58,TV|Ventilador|Geladeira,Tecnologia,17,Casa
52666,Norte,RR,Boa Vista,True,0.0,275.38,206.54,Ar-condicionado|Ar-condicionado Split|TV,Climatização,23,Apartamento
52669,Norte,RR,Boa Vista,False,3.3,65.49,49.12,Geladeira|Lâmpada Fluorescente|Lâmpada LED,Refrigeração,18,Casa
52670,Norte,RR,Boa Vista,False,9.2,131.34,98.5,Geladeira|TV|Ventilador,Refrigeração,13,Apartamento
52672,Norte,RR,Boa Vista,True,5.8,88.37,66.28,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,14,Apartamento
52673,Norte,RR,Boa Vista,True,10.8,161.52,121.14,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,19,Casa
52674,Norte,RR,Boa Vista,False,3.6,255.31,191.48,Geladeira|Ventilador|TV,Refrigeração,18,Apartamento
52675,Norte,RR,Boa Vista,False,4.7,60.65,45.49,Geladeira|Ventilador|Liquidificador,Refrigeração,12,Casa
52676,Norte,RR,Boa Vista,True,0.2,199.09,149.32,Ventilador|Geladeira|TV,Climatização,21,Apartamento
