entrevista,regiao,uf,municipio,uso_horario_pico,horas_alto_consumo,consumo_total_kwh_mes,valor_estimado_conta_reais,produtos_maior_consumo,categoria_maior_consumo,quantidade_equipamentos,tipo_imovel
52682,Nordeste,CE,Fortaleza,True,2.9,132.23,99.17,Geladeira|TV|Ventilador,Refrigeração,17,Apartamento
52683,Nordeste,CE,Fortaleza,False,10.2,190.67,143.0,TV|Geladeira|Ventilador,Tecnologia,14,Apartamento
52684,Nordeste,CE,Fortaleza,False,6.1,646.83,485.12,TV|Ar-condicionado|Ar-condicionado Split,Tecnologia,40,Comercio
52685,Norte,RR,Boa Vista,False,10.5,76.11,57.08,Geladeira|Lâmpada Fluorescente|N/A,Refrigeração,15,Comercio
52687,Norte,RR,Boa Vista,True,3.4,130.83,98.12,Fogão Elétrico|Lâmpada Incandescente|TV,Eletrodomésticos,16,Comercio
52689,Nordeste,CE,Fortaleza,False,5.8,229.31,171.98,Ventilador|Bebedouro|Geladeira,Climatização,18,Apartamento
52690,Nordeste,CE,Fortaleza,True,7.5,145.8,109.35,TV|Geladeira|Ventilador,Tecnologia,19,Casa
52692,Nordeste,CE,Fortaleza,False,2.9,83.24,62.43,Geladeira|TV|Lâmpada Fluorescente,Refrigeração,14,Apartamento
52693,Nordeste,CE,Fortaleza,True,7.6,256.27,192.2,Ventilador|Bebedouro|Geladeira,Climatização,22,Comercio
52694,Nordeste,CE,Fortaleza,True,0.5,105.33,79.0,Geladeira|Ventilador|TV,Refrigeração,11,Comercio
52696,Norte,RR,Boa Vista,True,8.4,253.54,190.16,Computador Desktop|Bebedouro|Geladeira,Tecnologia,21,Apartamento
52697,Norte,RR,Boa Vista,False,4.0,270.68,203.01,Fogão Elétrico|Geladeira|Ferro de Passar,Eletrodomésticos,42,Apartamento
52699,Norte,RR,Boa Vista,False,7.2,61.29,45.97,Geladeira|Ventilador|TV,Refrigeração,7,Apartamento
52700,Norte,RR,Boa Vista,False,9.3,186.36,139.77,Bebedouro|Geladeira|Fogão Elétrico,Refrigeração,34,Comercio
52701,Norte,RR,Boa Vista,False,3.8,324.98,243.74,Ar-condicionado|Ar-condicionado Split|Bebedouro,Climatização,34,Casa
52702,Norte,RR,Boa Vista,True,10.3,118.89,89.17,Ventilador|Geladeira|TV,Climatização,18,Casa
52703,Norte,RR,Boa Vista,True,10.5,85.53,64.15,Geladeira|TV|Lâmpada Fluorescente,Refrigeração,12,Apartamento
52705,Norte,RR,Boa Vista,False,0.4,305.87,229.4,Ventilador|Fogão Elétrico|TV,Climatização,21,Comercio
52706,Norte,RR,Boa Vista,True,8.3,121.29,90.97,Geladeira|Fogão Elétrico|Ventilador,Refrigeração,11,Apartamento
52708,Norte,RR,Boa Vista,False,2.6,376.96,282.72,Portão Elétrico|Computador Desktop|Geladeira,Serviços,25,Casa
52710,Norte,RR,Boa Vista,True,8.0,203.53,152.65,Geladeira|Freezer|Ventilador,Refrigeração,29,Apartamento
52711,Norte,RR,Boa Vista,False,0.9,120.46,90.34,Geladeira|Lâmpada Fluorescente|Ventilador,Refrigeração,24,Apartamento
52712,Norte,RR,Boa Vista,True,8.7,112.64,84.48,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,17,Apartamento
52714,Norte,RR,Boa Vista,False,0.6,241.81,181.36,Geladeira|Ventilador|TV,Refrigeração,22,Apartamento
52715,Norte,RR,Boa Vista,True,5.2,105.51,79.13,Geladeira|Freezer|Lâmpada Fluorescente,Refrigeração,19,Casa
52716,Norte,RR,Boa Vista,True,6.4,113.1,84.82,Geladeira|Ventilador|TV,Refrigeração,9,Apartamento
52717,Norte,RR,Boa Vista,True,1.3,126.29,94.72,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,13,Comercio
52718,Norte,RR,Boa Vista,False,5.9,447.35,335.51,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,27,Comercio
52719,Norte,RR,Boa Vista,True,1.5,204.67,153.5,TV|Geladeira|Ventilador,Tecnologia,13,Casa
52720,Norte,RR,Boa Vista,True,10.0,103.38,77.54,Geladeira|Lâmpada Fluorescente|TV,Refrigeração,19,Casa
52721,Norte,RR,Boa Vista,True,4.5,102.31,76.73,Geladeira|TV|Ventilador,Refrigeração,15,Casa
52722,Norte,RR,Boa Vista,False,6.1,125.82,94.36,Geladeira|Ventilador|TV,Refrigeração,11,Casa
52723,Norte,RR,Boa Vista,False,9.5,73.57,55.18,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,13,Comercio
52724,Norte,RR,Boa Vista,False,5.7,130.97,98.23,Geladeira|Ventilador|TV,Refrigeração,18,Casa
52725,Norte,RR,Boa Vista,True,10.8,161.35,121.01,Geladeira|TV|Lâmpada Fluorescente,Refrigeração,20,Comercio
52728,Norte,RR,Boa Vista,False,2.1,75.97,56.98,Geladeira|Micro-ondas|Computador Desktop,Refrigeração,11,Comercio
52729,Norte,RR,Boa Vista,True,0.1,241.94,181.46,Geladeira|TV|Ventilador,Refrigeração,18,Apartamento
52731,Norte,RR,Boa Vista,True,10.7,86.54,64.9,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,16,Comercio
52732,Nordeste,CE,Fortaleza,False,6.2,83.04,62.28,Geladeira|Ventilador|TV,Refrigeração,12,Casa
52733,Nordeste,CE,Fortaleza,True,11.2,183.35,137.51,Ventilador|Geladeira|TV,Climatização,14,Casa
52734,Nordeste,CE,Fortaleza,False,0.8,82.49,61.87,Geladeira|Ventilador|TV,Refrigeração,9,Comercio
52736,Nordeste,CE,Fortaleza,False,2.6,275.54,206.66,Ventilador|TV|Bebedouro,Climatização,23,Casa
52737,Nordeste,CE,Fortaleza,True,8.8,89.96,67.47,Geladeira|Ventilador|TV,Refrigeração,12,Casa
52738,Nordeste,CE,Fortaleza,True,2.1,99.42,74.56,Geladeira|Ventilador|TV,Refrigeração,10,Apartamento
52739,Norte,RR,Boa Vista,True,5.1,88.76,66.57,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,10,Apartamento
52740,Norte,RR,Boa Vista,False,6.5,134.94,101.2,Geladeira|Freezer|Ventilador,Refrigeração,24,Apartamento
52743,Norte,RR,Boa Vista,False,9.1,145.23,108.92,Geladeira|Fogão Elétrico|Freezer,Refrigeração,18,Apartamento
52744,Nordeste,CE,Fortaleza,False,0.2,54.1,40.58,Geladeira|Lâmpada LED|TV,Refrigeração,10,Apartamento
52745,Nordeste,CE,Fortaleza,True,2.6,162.06,121.54,Bebedouro|Geladeira|Freezer,Refrigeração,11,Comercio
52747,Nordeste,CE,Fortaleza,False,1.7,106.59,79.94,Geladeira|Ventilador|Micro-ondas,Refrigeração,13,Apartamento
52748,Norte,RR,Boa Vista,True,1.3,57.16,42.87,Geladeira|Lâmpada Fluorescente|Lâmpada LED,Refrigeração,22,Casa
52749,Nordeste,CE,Fortaleza,True,11.3,144.83,108.62,Ventilador|Geladeira|TV,Climatização,17,Apartamento
52750,Nordeste,CE,Fortaleza,False,3.1,95.84,71.88,Geladeira|Ventilador|TV,Refrigeração,10,Apartamento
52751,Norte,RR,Boa Vista,False,10.8,277.36,208.02,Fogão Elétrico|Liquidificador|Geladeira,Eletrodomésticos,29,Casa
52753,Norte,RR,Boa Vista,False,10.7,188.93,141.7,Geladeira|Fogão Elétrico|Freezer,Refrigeração,22,Apartamento
52754,Norte,RR,Boa Vista,False,3.0,202.04,151.53,Ventilador|Geladeira|Freezer,Climatização,24,Apartamento
52755,Norte,RR,Boa Vista,True,8.4,169.28,126.96,Geladeira|Ventilador|TV,Refrigeração,17,Casa
52756,Norte,RR,Boa Vista,False,4.8,126.7,95.02,TV|Geladeira|Ventilador,Tecnologia,11,Comercio
52757,Norte,RR,Boa Vista,False,8.5,39.17,29.38,TV|Ventilador|Lâmpada Fluorescente,Tecnologia,9,Apartamento
52758,Norte,RR,Boa Vista,True,8.4,79.2,59.4,Geladeira|Ventilador de Teto|Lâmpada LED,Refrigeração,11,Apartamento
52759,Norte,RR,Boa Vista,True,4.8,143.42,107.56,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,18,Casa
52760,Norte,RR,Boa Vista,False,11.2,70.44,52.83,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,13,Apartamento
52761,Norte,RR,Boa Vista,True,3.1,165.22,123.92,Geladeira|Computador Desktop|Notebook,Refrigeração,18,Comercio
52762,Norte,RR,Boa Vista,False,1.0,230.32,172.74,Ventilador|Geladeira|Freezer,Climatização,16,Apartamento
52763,Norte,RR,Boa Vista,False,9.2,234.06,175.54,Fogão Elétrico|Secador de Cabelo|Geladeira,Eletrodomésticos,15,Casa
52764,Norte,RR,Boa Vista,False,11.6,195.3,146.48,Forno Elétrico|Geladeira|Ventilador,Eletrodomésticos,12,Apartamento
52765,Norte,RR,Boa Vista,True,1.7,68.54,51.4,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,11,Apartamento
52766,Norte,RR,Boa Vista,False,0.5,57.92,43.44,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,13,Casa
52767,Norte,RR,Boa Vista,False,7.0,159.58,119.68,Geladeira|Fogão Elétrico|Forno Elétrico,Refrigeração,19,Apartamento
52768,Norte,RR,Boa Vista,False,6.7,159.79,119.84,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,20,Casa
52769,Norte,RR,Boa Vista,False,10.4,154.97,116.23,Ventilador|Geladeira|TV,Climatização,19,Apartamento
52770,Norte,RR,Boa Vista,False,6.6,74.88,56.16,Geladeira|Ventilador|TV,Refrigeração,7,Apartamento
52771,Norte,RR,Boa Vista,False,8.1,166.27,124.7,Geladeira|Ventilador|TV,Refrigeração,16,Comercio
52772,Norte,RR,Boa Vista,True,9.1,81.64,61.23,Geladeira|Ventilador|TV,Refrigeração,11,Casa
52773,Norte,RR,Boa Vista,False,2.7,557.1,417.83,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,10,Apartamento
52774,Norte,RR,Boa Vista,False,2.7,365.58,274.18,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,13,Comercio
52775,Norte,RR,Boa Vista,True,7.9,238.84,179.13,Ar-condicionado|Geladeira|Ventilador,Climatização,20,Comercio
52776,Norte,RR,Boa Vista,True,6.4,78.82,59.11,Geladeira|Ventilador|Roteador Wi-Fi,Refrigeração,15,Casa
52777,Norte,RR,Boa Vista,False,4.1,263.95,197.96,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,16,Apartamento
52778,Norte,RR,Boa Vista,True,7.3,685.6,514.2,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,31,Comercio
52780,Norte,RR,Boa Vista,False,9.3,1101.07,825.8,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,24,Comercio
52782,Norte,RR,Boa Vista,False,8.5,138.32,103.74,Geladeira|Ventilador|TV,Refrigeração,16,Casa
52783,Norte,RR,Boa Vista,False,0.1,19.84,14.88,Ventilador|Lâmpada Fluorescente|N/A,Climatização,4,Apartamento
52786,Norte,RR,Boa Vista,False,3.4,90.93,68.2,Geladeira|Lâmpada Fluorescente|Fogão Elétrico,Refrigeração,28,Apartamento
52787,Norte,RR,Boa Vista,True,3.7,145.71,109.28,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,20,Casa
52788,Norte,RR,Boa Vista,False,4.3,165.11,123.83,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,17,Casa
52789,Norte,RR,Boa Vista,True,10.2,59.53,44.65,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,12,Casa
52790,Norte,RR,Boa Vista,False,4.3,87.54,65.66,Geladeira|Lâmpada Fluorescente|Ventilador,Refrigeração,17,Casa
52791,Norte,RR,Boa Vista,True,11.1,54.44,40.83,Geladeira|Liquidificador|Lâmpada LED,Refrigeração,13,Apartamento
52792,Norte,RR,Boa Vista,True,7.1,142.55,106.91,Freezer|Geladeira|Lâmpada Fluorescente,Refrigeração,16,Casa
52793,Norte,RR,Boa Vista,True,11.8,169.76,127.32,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,16,Apartamento
52795,Norte,RR,Boa Vista,True,10.5,52.17,39.13,Geladeira|Lâmpada Fluorescente|Micro-ondas,Refrigeração,17,Comercio
52796,Norte,RR,Boa Vista,False,2.5,102.47,76.85,Geladeira|Fogão Elétrico|Ventilador,Refrigeração,11,Casa
52798,Norte,RR,Boa Vista,False,1.1,94.32,70.74,Geladeira|TV|Ar-condicionado,Refrigeração,13,Casa
52799,Norte,RR,Boa Vista,True,3.1,509.49,382.12,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,22,Comercio
52800,Norte,RR,Boa Vista,True,6.6,901.92,676.44,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,32,Casa
52801,Norte,RR,Boa Vista,True,10.6,124.9,93.68,Geladeira|Ventilador|TV,Refrigeração,15,Casa
52803,Norte,RR,Boa Vista,False,0.8,440.59,330.44,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,24,Casa
52804,Norte,RR,Boa Vista,True,6.9,98.57,73.93,Geladeira|Ventilador|TV,Refrigeração,8,Comercio
52806,Norte,RR,Boa Vista,True,0.8,117.36,88.02,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,19,Apartamento
52807,Norte,RR,Boa Vista,True,2.1,102.33,76.75,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,14,Apartamento
52808,Norte,RR,Boa Vista,True,3.4,152.77,114.58,Ventilador|Geladeira|TV,Climatização,16,Casa
52809,Norte,RR,Boa Vista,True,5.1,116.05,87.04,Geladeira|Ventilador|TV,Refrigeração,22,Apartamento
52811,Norte,RR,Boa Vista,True,7.2,136.46,102.34,Geladeira|Ar-condicionado|Fogão Elétrico,Refrigeração,15,Comercio
52812,Norte,RR,Boa Vista,True,6.7,91.0,68.25,Geladeira|Ventilador|TV,Refrigeração,11,Comercio
52814,Norte,RR,Boa Vista,False,6.8,79.74,59.8,Geladeira|Ventilador|TV,Refrigeração,10,Comercio
52815,Norte,RR,Boa Vista,True,0.1,276.46,207.34,Ar-condicionado|Ar-condicionado Split|Ventilador,Climatização,18,Apartamento
52816,Norte,RR,Boa Vista,True,10.9,99.37,74.53,Geladeira|TV|Ventilador,Refrigeração,13,Comercio
52817,Norte,RR,Boa Vista,True,5.5,637.7,478.28,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,27,Casa
52818,Norte,RR,Boa Vista,True,1.8,138.16,103.62,Geladeira|TV|Ventilador,Refrigeração,12,Apartamento
52819,Norte,RR,Boa Vista,True,9.0,59.13,44.35,Geladeira|Lâmpada Fluorescente|TV,Refrigeração,12,Apartamento
52820,Norte,RR,Boa Vista,True,2.4,129.97,97.48,Geladeira|Ventilador|TV,Refrigeração,16,Casa
52821,Norte,RR,Boa Vista,False,5.7,103.63,77.72,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,12,Apartamento
52822,Norte,RR,Boa Vista,True,0.8,162.19,121.64,Geladeira|Freezer|Ventilador,Refrigeração,13,Casa
52823,Norte,RR,Boa Vista,False,11.7,242.91,182.18,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,12,Casa
52824,Norte,RR,Boa Vista,True,9.3,245.17,183.88,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,17,Apartamento
52825,Norte,RR,Boa Vista,True,5.1,69.41,52.06,Geladeira|Lâmpada Fluorescente|Fogão Elétrico,Refrigeração,18,Comercio
52826,Norte,RR,Boa Vista,False,3.2,123.71,92.78,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,9,Casa
52827,Norte,RR,Boa Vista,True,7.7,101.64,76.23,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,9,Casa
52828,Norte,RR,Boa Vista,True,2.3,89.06,66.8,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,15,Casa
52829,Norte,RR,Boa Vista,False,5.2,64.53,48.4,Ventilador|Frigobar|Lâmpada Fluorescente,Climatização,7,Comercio
52830,Norte,RR,Boa Vista,False,11.9,87.73,65.8,Geladeira|Ventilador|Lâmpada LED,Refrigeração,9,Comercio
52831,Norte,RR,Boa Vista,False,4.0,100.76,75.57,Geladeira|Ventilador|Lâmpada Incandescente,Refrigeração,9,Casa
52832,Norte,RR,Boa Vista,True,8.0,105.81,79.36,Geladeira|Portão Elétrico|Lâmpada Incandescente,Refrigeração,18,Casa
52833,Norte,RR,Boa Vista,True,3.0,120.29,90.22,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,12,Casa
52834,Norte,RR,Boa Vista,True,0.1,122.48,91.86,Geladeira|TV|Fogão Elétrico,Refrigeração,17,Casa
52835,Norte,RR,Boa Vista,True,1.7,153.8,115.35,Ventilador|Geladeira|TV,Climatização,15,Casa
52836,Norte,RR,Boa Vista,True,1.8,49.62,37.21,Geladeira|Lâmpada LED|Ventilador,Refrigeração,16,Comercio
52837,Norte,RR,Boa Vista,False,6.6,120.91,90.68,Geladeira|Freezer|Lâmpada Incandescente,Refrigeração,11,Apartamento
52838,Norte,RR,Boa Vista,False,10.5,84.45,63.34,Geladeira|Ventilador|Ferro de Passar,Refrigeração,9,Apartamento
52839,Norte,RR,Boa Vista,False,4.7,81.75,61.31,Geladeira|Notebook|Roteador Wi-Fi,Refrigeração,19,Casa
52840,Norte,RR,Boa Vista,True,10.6,106.22,79.66,Geladeira|Ventilador|Liquidificador,Refrigeração,20,Comercio
52841,Norte,RR,Boa Vista,True,4.1,67.3,50.47,Geladeira|Lâmpada Fluorescente|Ar-condicionado,Refrigeração,13,Apartamento
52842,Norte,RR,Boa Vista,False,1.8,21.84,16.38,TV|Lâmpada Fluorescente|Lâmpada LED,Tecnologia,7,Comercio
52843,Norte,RR,Boa Vista,False,11.8,95.64,71.73,Geladeira|TV|Ventilador,Refrigeração,10,Casa
52844,Norte,RR,Boa Vista,True,6.8,243.98,182.98,TV|Ventilador|Geladeira,Tecnologia,15,Casa
52845,Norte,RR,Boa Vista,False,11.7,89.33,67.0,Geladeira|Ventilador|Lâmpada LED,Refrigeração,13,Comercio
52846,Norte,RR,Boa Vista,True,0.6,276.95,207.71,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,14,Casa
52847,Norte,RR,Boa Vista,True,9.8,124.56,93.42,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,12,Casa
52849,Norte,RR,Boa Vista,True,1.8,87.97,65.98,Geladeira|Lâmpada Incandescente|Ventilador,Refrigeração,9,Casa
52850,Norte,RR,Boa Vista,True,7.2,183.91,137.93,Geladeira|TV|Ventilador,Refrigeração,11,Apartamento
52851,Norte,RR,Boa Vista,True,2.3,68.8,51.6,Geladeira|Lâmpada Fluorescente|Fogão Elétrico,Refrigeração,19,Apartamento
52852,Norte,RR,Boa Vista,False,1.3,129.57,97.18,Freezer|Ventilador|TV,Refrigeração,9,Casa
52853,Norte,RR,Boa Vista,False,2.4,165.36,124.02,Geladeira|Freezer|Forno Elétrico,Refrigeração,22,Apartamento
52854,Norte,RR,Boa Vista,False,7.1,126.71,95.03,Geladeira|Freezer|Ventilador,Refrigeração,17,Comercio
52855,Norte,RR,Boa Vista,False,7.8,101.05,75.79,Geladeira|Ventilador|Lâmpada Incandescente,Refrigeração,9,Apartamento
52856,Norte,RR,Boa Vista,False,8.3,131.81,98.86,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,14,Casa
52857,Norte,RR,Boa Vista,False,2.4,68.91,51.68,Geladeira|Ar-condicionado|Ar-condicionado Split,Refrigeração,15,Apartamento
52858,Norte,RR,Boa Vista,True,2.8,56.98,42.74,Frigobar|Ventilador|Lâmpada Fluorescente,Refrigeração,11,Comercio
52861,Norte,RR,Boa Vista,True,4.8,139.46,104.6,Ventilador|Geladeira|Lâmpada Incandescente,Climatização,8,Apartamento
52862,Norte,RR,Boa Vista,True,4.1,66.0,49.5,Geladeira|TV|Ventilador,Refrigeração,8,Comercio
52863,Norte,RR,Boa Vista,True,9.2,114.26,85.7,Geladeira|Batedeira|Lâmpada Fluorescente,Refrigeração,23,Comercio
52864,Norte,RR,Boa Vista,False,5.2,81.53,61.15,Geladeira|Lâmpada Fluorescente|Fogão Elétrico,Refrigeração,18,Apartamento
52865,Norte,RR,Boa Vista,True,10.5,88.98,66.74,Geladeira|TV|Fogão Elétrico,Refrigeração,18,Apartamento
52866,Norte,RR,Boa Vista,False,2.0,65.76,49.32,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,18,Casa
52867,Norte,RR,Boa Vista,False,0.1,143.84,107.88,Ventilador|Geladeira|Lâmpada LED,Climatização,12,Apartamento
52868,Norte,RR,Boa Vista,False,6.9,100.62,75.46,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,15,Casa
52870,Norte,RR,Boa Vista,True,7.9,69.24,51.93,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,11,Casa
52872,Norte,RR,Boa Vista,True,11.0,303.89,227.92,Ar-condicionado|Ar-condicionado Split|Bebedouro,Climatização,24,Apartamento
52873,Norte,RR,Boa Vista,False,9.2,153.63,115.22,Ventilador|Geladeira|Roteador Wi-Fi,Climatização,15,Casa
52874,Norte,RR,Boa Vista,True,10.3,144.23,108.17,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,14,Comercio
52875,Norte,RR,Boa Vista,True,0.7,82.73,62.05,Geladeira|Ar-condicionado|Ar-condicionado Split,Refrigeração,21,Apartamento
52876,Norte,RR,Boa Vista,True,8.2,228.33,171.25,Ventilador|Geladeira|Freezer,Climatização,21,Casa
52878,Norte,RR,Boa Vista,True,0.6,62.71,47.03,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,14,Apartamento
52879,Norte,RR,Boa Vista,False,5.4,60.75,45.56,Geladeira|Lâmpada Fluorescente|TV,Refrigeração,12,Comercio
52880,Norte,RR,Boa Vista,True,1.6,81.52,61.14,Geladeira|TV|Ventilador,Refrigeração,8,Casa
52881,Norte,RR,Boa Vista,True,11.8,90.77,68.08,Geladeira|TV|Lâmpada Fluorescente,Refrigeração,13,Apartamento
52882,Norte,RR,Boa Vista,True,0.3,56.27,42.2,Geladeira|Lâmpada Fluorescente|TV,Refrigeração,13,Apartamento
52883,Norte,RR,Boa Vista,True,11.7,201.15,150.86,Ventilador|Geladeira|TV,Climatização,13,Comercio
52884,Norte,RR,Boa Vista,True,4.9,82.5,61.88,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,13,Comercio
52885,Norte,RR,Boa Vista,False,10.9,499.87,374.9,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,16,Comercio
52886,Norte,RR,Boa Vista,True,1.0,133.16,99.87,Geladeira|Ventilador|TV,Refrigeração,17,Casa
52887,Norte,RR,Boa Vista,False,8.3,222.89,167.17,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,22,Apartamento
52888,Norte,RR,Boa Vista,True,0.5,579.78,434.84,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,20,Casa
52889,Norte,RR,Boa Vista,True,5.8,115.04,86.28,Geladeira|Ventilador|Ventilador de Teto,Refrigeração,15,Comercio
52890,Norte,RR,Boa Vista,False,4.6,161.02,120.77,Geladeira|Ventilador|TV,Refrigeração,16,Casa
52892,Norte,RR,Boa Vista,True,2.9,373.08,279.81,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,19,Apartamento
52893,Norte,RR,Boa Vista,False,1.5,123.48,92.61,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,20,Comercio
52894,Norte,RR,Boa Vista,False,4.6,689.34,517.0,Ar-condicionado|Ar-condicionado Split|TV,Climatização,35,Comercio
52895,Norte,RR,Boa Vista,False,5.8,429.45,322.09,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,30,Apartamento
52896,Norte,RR,Boa Vista,False,8.4,125.96,94.47,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,10,Apartamento
52898,Norte,RR,Boa Vista,False,11.8,148.07,111.05,Bebedouro|Geladeira|Ar-condicionado,Refrigeração,16,Apartamento
52899,Norte,RR,Boa Vista,True,9.8,760.47,570.35,Ar-condicionado|Ar-condicionado Split|Portão Elétrico,Climatização,27,Comercio
52900,Norte,RR,Boa Vista,True,6.0,112.19,84.14,Geladeira|Caixa de Som|Lâmpada Fluorescente,Refrigeração,22,Casa
