entrevista,regiao,uf,municipio,uso_horario_pico,horas_alto_consumo,consumo_total_kwh_mes,valor_estimado_conta_reais,produtos_maior_consumo,categoria_maior_consumo,quantidade_equipamentos,tipo_imovel,categoria
52641,Norte,RR,Boa Vista,0,3.7,59.01,44.26,Geladeira|Lâmpada Fluorescente|Ventilador,Refrigeração,30,Apartamento,Bom
52642,Norte,RR,Boa Vista,1,5.3,82.31,61.73,Geladeira|Notebook|Lâmpada LED,Refrigeração,53,Comercio,Crítico
52643,Norte,RR,Boa Vista,1,11.6,53.86,40.39,Geladeira|Lâmpada Fluorescente|Lâmpada LED,Refrigeração,28,Apartamento,Crítico
52647,Norte,RR,Boa Vista,1,11.5,109.23,81.92,Geladeira|Ventilador|Ventilador de Teto,Refrigeração,16,Apartamento,Crítico
52649,Norte,RR,Boa Vista,1,5.8,62.65,46.99,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,18,Casa,Ruim
52651,Norte,RR,Boa Vista,0,9.6,195.23,146.42,Fogão Elétrico|Ventilador|Geladeira,Eletrodomésticos,22,Casa,Mediano
52652,Norte,RR,Boa Vista,0,11.0,131.58,98.68,Geladeira|Freezer|Ventilador,Refrigeração,16,Casa,Mediano
52654,Norte,RR,Boa Vista,0,5.7,112.18,84.14,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,21,Casa,Bom
52655,Norte,RR,Boa Vista,1,10.1,95.54,71.66,Geladeira|Lâmpada Incandescente|Ventilador,Refrigeração,17,Apartamento,Crítico
52656,Norte,RR,Boa Vista,0,10.8,114.37,85.78,Geladeira|Fogão Elétrico|Lâmpada Fluorescente,Refrigeração,17,Casa,Mediano
52657,Norte,RR,Boa Vista,0,3.6,76.72,57.54,Geladeira|Lâmpada Incandescente|Ventilador,Refrigeração,11,Casa,Excelente
52658,Norte,RR,Boa Vista,1,9.9,76.7,57.53,Geladeira|Lâmpada Incandescente|Ventilador,Refrigeração,20,Casa,Crítico
52659,Norte,RR,Boa Vista,1,7.6,169.36,127.02,Ventilador|Geladeira|Lâmpada Incandescente,Climatização,18,Casa,Crítico
52660,Norte,RR,Boa Vista,0,4.9,217.71,163.28,Geladeira|Bebedouro|Ventilador,Refrigeração,22,Casa,Bom
52661,Norte,RR,Boa Vista,1,5.4,84.56,63.42,Geladeira|Ventilador|Lâmpada Incandescente,Refrigeração,18,Casa,Ruim
52663,Norte,RR,Boa Vista,0,2.5,178.11,133.58,TV|Ventilador|Geladeira,Tecnologia,17,Casa,Excelente
52666,Norte,RR,Boa Vista,1,0.0,275.38,206.54,Ar-condicionado|Ar-condicionado Split|TV,Climatização,23,Apartamento,Ruim
52669,Norte,RR,Boa Vista,0,3.3,65.49,49.12,Geladeira|Lâmpada Fluorescente|Lâmpada LED,Refrigeração,18,Casa,Excelente
52670,Norte,RR,Boa Vista,0,9.2,131.34,98.5,Geladeira|TV|Ventilador,Refrigeração,13,Apartamento,Bom
