entrevista,regiao,uf,municipio,uso_horario_pico,horas_alto_consumo,consumo_total_kwh_mes,valor_estimado_conta_reais,produtos_maior_consumo,categoria_maior_consumo,quantidade_equipamentos,tipo_imovel,categoria
52672,Norte,RR,Boa Vista,1,5.8,88.37,66.28,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,14,Apartamento,Ruim
52673,Norte,RR,Boa Vista,1,10.8,161.52,121.14,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,19,Casa,Crítico
52674,Norte,RR,Boa Vista,0,3.6,255.31,191.48,Geladeira|Ventilador|TV,Refrigeração,18,Apartamento,Bom
52675,Norte,RR,Boa Vista,0,4.7,60.65,45.49,Geladeira|Ventilador|Liquidificador,Refrigeração,12,Casa,Excelente
52676,Norte,RR,Boa Vista,1,0.2,199.09,149.32,Ventilador|Geladeira|TV,Climatização,21,Apartamento,Ruim
52682,Nordeste,CE,Fortaleza,1,2.9,132.23,99.17,Geladeira|TV|Ventilador,Refrigeração,17,Apartamento,Ruim
52683,Nordeste,CE,Fortaleza,0,10.2,190.67,143.0,TV|Geladeira|Ventilador,Tecnologia,14,Apartamento,Mediano
52684,Nordeste,CE,Fortaleza,0,6.1,646.83,485.12,TV|Ar-condicionado|Ar-condicionado Split,Tecnologia,40,Comercio,Mediano
52685,Norte,RR,Boa Vista,0,10.5,76.11,57.08,Geladeira|Lâmpada Fluorescente|N/A,Refrigeração,15,Comercio,Mediano
52687,Norte,RR,Boa Vista,1,3.4,130.83,98.12,Fogão Elétrico|Lâmpada Incandescente|TV,Eletrodomésticos,16,Comercio,Ruim
52689,Nordeste,CE,Fortaleza,0,5.8,229.31,171.98,Ventilador|Bebedouro|Geladeira,Climatização,18,Apartamento,Bom
52690,Nordeste,CE,Fortaleza,1,7.5,145.8,109.35,TV|Geladeira|Ventilador,Tecnologia,19,Casa,Crítico
52692,Nordeste,CE,Fortaleza,0,2.9,83.24,62.43,Geladeira|TV|Lâmpada Fluorescente,Refrigeração,14,Apartamento,Excelente
52693,Nordeste,CE,Fortaleza,1,7.6,256.27,192.2,Ventilador|Bebedouro|Geladeira,Climatização,22,Comercio,Crítico
52694,Nordeste,CE,Fortaleza,1,0.5,105.33,79.0,Geladeira|Ventilador|TV,Refrigeração,11,Comercio,Mediano
52696,Norte,RR,Boa Vista,1,8.4,253.54,190.16,Computador Desktop|Bebedouro|Geladeira,Tecnologia,21,Apartamento,Crítico
52697,Norte,RR,Boa Vista,0,4.0,270.68,203.01,Fogão Elétrico|Geladeira|Ferro de Passar,Eletrodomésticos,42,Apartamento,Mediano
52699,Norte,RR,Boa Vista,0,7.2,61.29,45.97,Geladeira|Ventilador|TV,Refrigeração,7,Apartamento,Bom
52700,Norte,RR,Boa Vista,0,9.3,186.36,139.77,Bebedouro|Geladeira|Fogão Elétrico,Refrigeração,34,Comercio,Mediano
52701,Norte,RR,Boa Vista,0,3.8,324.98,243.74,Ar-condicionado|Ar-condicionado Split|Bebedouro,Climatização,34,Casa,Bom
52702,Norte,RR,Boa Vista,1,10.3,118.89,89.17,Ventilador|Geladeira|TV,Climatização,18,Casa,Crítico
52703,Norte,RR,Boa Vista,1,10.5,85.53,64.15,Geladeira|TV|Lâmpada Fluorescente,Refrigeração,12,Apartamento,Crítico
52705,Norte,RR,Boa Vista,0,0.4,305.87,229.4,Ventilador|Fogão Elétrico|TV,Climatização,21,Comercio,Excelente
52706,Norte,RR,Boa Vista,1,8.3,121.29,90.97,Geladeira|Fogão Elétrico|Ventilador,Refrigeração,11,Apartamento,Crítico
52708,Norte,RR,Boa Vista,0,2.6,376.96,282.72,Portão Elétrico|Computador Desktop|Geladeira,Serviços,25,Casa,Bom
52710,Norte,RR,Boa Vista,1,8.0,203.53,152.65,Geladeira|Freezer|Ventilador,Refrigeração,29,Apartamento,Crítico
52711,Norte,RR,Boa Vista,0,0.9,120.46,90.34,Geladeira|Lâmpada Fluorescente|Ventilador,Refrigeração,24,Apartamento,Excelente
52712,Norte,RR,Boa Vista,1,8.7,112.64,84.48,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,17,Apartamento,Crítico
52714,Norte,RR,Boa Vista,0,0.6,241.81,181.36,Geladeira|Ventilador|TV,Refrigeração,22,Apartamento,Excelente
52715,Norte,RR,Boa Vista,1,5.2,105.51,79.13,Geladeira|Freezer|Lâmpada Fluorescente,Refrigeração,19,Casa,Ruim
52716,Norte,RR,Boa Vista,1,6.4,113.1,84.82,Geladeira|Ventilador|TV,Refrigeração,9,Apartamento,Ruim
52717,Norte,RR,Boa Vista,1,1.3,126.29,94.72,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,13,Comercio,Mediano
52718,Norte,RR,Boa Vista,0,5.9,447.35,335.51,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,27,Comercio,Bom
52719,Norte,RR,Boa Vista,1,1.5,204.67,153.5,TV|Geladeira|Ventilador,Tecnologia,13,Casa,Ruim
52720,Norte,RR,Boa Vista,1,10.0,103.38,77.54,Geladeira|Lâmpada Fluorescente|TV,Refrigeração,19,Casa,Crítico
52721,Norte,RR,Boa Vista,1,4.5,102.31,76.73,Geladeira|TV|Ventilador,Refrigeração,15,Casa,Ruim
52722,Norte,RR,Boa Vista,0,6.1,125.82,94.36,Geladeira|Ventilador|TV,Refrigeração,11,Casa,Bom
52723,Norte,RR,Boa Vista,0,9.5,73.57,55.18,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,13,Comercio,Bom
52724,Norte,RR,Boa Vista,0,5.7,130.97,98.23,Geladeira|Ventilador|TV,Refrigeração,18,Casa,Bom
52725,Norte,RR,Boa Vista,1,10.8,161.35,121.01,Geladeira|TV|Lâmpada Fluorescente,Refrigeração,20,Comercio,Crítico
52728,Norte,RR,Boa Vista,0,2.1,75.97,56.98,Geladeira|Micro-ondas|Computador Desktop,Refrigeração,11,Comercio,Excelente
52729,Norte,RR,Boa Vista,1,0.1,241.94,181.46,Geladeira|TV|Ventilador,Refrigeração,18,Apartamento,Ruim
52731,Norte,RR,Boa Vista,1,10.7,86.54,64.9,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,16,Comercio,Crítico
52732,Nordeste,CE,Fortaleza,0,6.2,83.04,62.28,Geladeira|Ventilador|TV,Refrigeração,12,Casa,Bom
52733,Nordeste,CE,Fortaleza,1,11.2,183.35,137.51,Ventilador|Geladeira|TV,Climatização,14,Casa,Crítico
52734,Nordeste,CE,Fortaleza,0,0.8,82.49,61.87,Geladeira|Ventilador|TV,Refrigeração,9,Comercio,Excelente
52736,Nordeste,CE,Fortaleza,0,2.6,275.54,206.66,Ventilador|TV|Bebedouro,Climatização,23,Casa,Bom
52737,Nordeste,CE,Fortaleza,1,8.8,89.96,67.47,Geladeira|Ventilador|TV,Refrigeração,12,Casa,Crítico
52738,Nordeste,CE,Fortaleza,1,2.1,99.42,74.56,Geladeira|Ventilador|TV,Refrigeração,10,Apartamento,Mediano
52739,Norte,RR,Boa Vista,1,5.1,88.76,66.57,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,10,Apartamento,Ruim
52740,Norte,RR,Boa Vista,0,6.5,134.94,101.2,Geladeira|Freezer|Ventilador,Refrigeração,24,Apartamento,Bom
52743,Norte,RR,Boa Vista,0,9.1,145.23,108.92,Geladeira|Fogão Elétrico|Freezer,Refrigeração,18,Apartamento,Mediano
52744,Nordeste,CE,Fortaleza,0,0.2,54.1,40.58,Geladeira|Lâmpada LED|TV,Refrigeração,10,Apartamento,Excelente
52745,Nordeste,CE,Fortaleza,1,2.6,162.06,121.54,Bebedouro|Geladeira|Freezer,Refrigeração,11,Comercio,Mediano
52747,Nordeste,CE,Fortaleza,0,1.7,106.59,79.94,Geladeira|Ventilador|Micro-ondas,Refrigeração,13,Apartamento,Excelente
52748,Norte,RR,Boa Vista,1,1.3,57.16,42.87,Geladeira|Lâmpada Fluorescente|Lâmpada LED,Refrigeração,22,Casa,Ruim
52749,Nordeste,CE,Fortaleza,1,11.3,144.83,108.62,Ventilador|Geladeira|TV,Climatização,17,Apartamento,Crítico
52750,Nordeste,CE,Fortaleza,0,3.1,95.84,71.88,Geladeira|Ventilador|TV,Refrigeração,10,Apartamento,Excelente
52751,Norte,RR,Boa Vista,0,10.8,277.36,208.02,Fogão Elétrico|Liquidificador|Geladeira,Eletrodomésticos,29,Casa,Mediano
52753,Norte,RR,Boa Vista,0,10.7,188.93,141.7,Geladeira|Fogão Elétrico|Freezer,Refrigeração,22,Apartamento,Mediano
52754,Norte,RR,Boa Vista,0,3.0,202.04,151.53,Ventilador|Geladeira|Freezer,Climatização,24,Apartamento,Bom
52755,Norte,RR,Boa Vista,1,8.4,169.28,126.96,Geladeira|Ventilador|TV,Refrigeração,17,Casa,Crítico
52756,Norte,RR,Boa Vista,0,4.8,126.7,95.02,TV|Geladeira|Ventilador,Tecnologia,11,Comercio,Excelente
52757,Norte,RR,Boa Vista,0,8.5,39.17,29.38,TV|Ventilador|Lâmpada Fluorescente,Tecnologia,9,Apartamento,Bom
52758,Norte,RR,Boa Vista,1,8.4,79.2,59.4,Geladeira|Ventilador de Teto|Lâmpada LED,Refrigeração,11,Apartamento,Crítico
52759,Norte,RR,Boa Vista,1,4.8,143.42,107.56,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,18,Casa,Ruim
52760,Norte,RR,Boa Vista,0,11.2,70.44,52.83,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,13,Apartamento,Mediano
52761,Norte,RR,Boa Vista,1,3.1,165.22,123.92,Geladeira|Computador Desktop|Notebook,Refrigeração,18,Comercio,Ruim
52762,Norte,RR,Boa Vista,0,1.0,230.32,172.74,Ventilador|Geladeira|Freezer,Climatização,16,Apartamento,Excelente
52763,Norte,RR,Boa Vista,0,9.2,234.06,175.54,Fogão Elétrico|Secador de Cabelo|Geladeira,Eletrodomésticos,15,Casa,Mediano
52764,Norte,RR,Boa Vista,0,11.6,195.3,146.48,Forno Elétrico|Geladeira|Ventilador,Eletrodomésticos,12,Apartamento,Mediano
52765,Norte,RR,Boa Vista,1,1.7,68.54,51.4,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,11,Apartamento,Mediano
52766,Norte,RR,Boa Vista,0,0.5,57.92,43.44,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,13,Casa,Excelente
52767,Norte,RR,Boa Vista,0,7.0,159.58,119.68,Geladeira|Fogão Elétrico|Forno Elétrico,Refrigeração,19,Apartamento,Bom
52768,Norte,RR,Boa Vista,0,6.7,159.79,119.84,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,20,Casa,Bom
52769,Norte,RR,Boa Vista,0,10.4,154.97,116.23,Ventilador|Geladeira|TV,Climatização,19,Apartamento,Mediano
52770,Norte,RR,Boa Vista,0,6.6,74.88,56.16,Geladeira|Ventilador|TV,Refrigeração,7,Apartamento,Bom
52771,Norte,RR,Boa Vista,0,8.1,166.27,124.7,Geladeira|Ventilador|TV,Refrigeração,16,Comercio,Bom
52772,Norte,RR,Boa Vista,1,9.1,81.64,61.23,Geladeira|Ventilador|TV,Refrigeração,11,Casa,Crítico
52773,Norte,RR,Boa Vista,0,2.7,557.1,417.83,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,10,Apartamento,Bom
52774,Norte,RR,Boa Vista,0,2.7,365.58,274.18,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,13,Comercio,Excelente
52775,Norte,RR,Boa Vista,1,7.9,238.84,179.13,Ar-condicionado|Geladeira|Ventilador,Climatização,20,Comercio,Crítico
52776,Norte,RR,Boa Vista,1,6.4,78.82,59.11,Geladeira|Ventilador|Roteador Wi-Fi,Refrigeração,15,Casa,Ruim
52777,Norte,RR,Boa Vista,0,4.1,263.95,197.96,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,16,Apartamento,Bom
52778,Norte,RR,Boa Vista,1,7.3,685.6,514.2,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,31,Comercio,Crítico
52780,Norte,RR,Boa Vista,0,9.3,1101.07,825.8,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,24,Comercio,Mediano
52782,Norte,RR,Boa Vista,0,8.5,138.32,103.74,Geladeira|Ventilador|TV,Refrigeração,16,Casa,Bom
52783,Norte,RR,Boa Vista,0,0.1,19.84,14.88,Ventilador|Lâmpada Fluorescente|N/A,Climatização,4,Apartamento,Excelente
52786,Norte,RR,Boa Vista,0,3.4,90.93,68.2,Geladeira|Lâmpada Fluorescente|Fogão Elétrico,Refrigeração,28,Apartamento,Bom
52787,Norte,RR,Boa Vista,1,3.7,145.71,109.28,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,20,Casa,Ruim
52788,Norte,RR,Boa Vista,0,4.3,165.11,123.83,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,17,Casa,Bom
52789,Norte,RR,Boa Vista,1,10.2,59.53,44.65,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,12,Casa,Crítico
52790,Norte,RR,Boa Vista,0,4.3,87.54,65.66,Geladeira|Lâmpada Fluorescente|Ventilador,Refrigeração,17,Casa,Bom
52791,Norte,RR,Boa Vista,1,11.1,54.44,40.83,Geladeira|Liquidificador|Lâmpada LED,Refrigeração,13,Apartamento,Crítico
52792,Norte,RR,Boa Vista,1,7.1,142.55,106.91,Freezer|Geladeira|Lâmpada Fluorescente,Refrigeração,16,Casa,Crítico
52793,Norte,RR,Boa Vista,1,11.8,169.76,127.32,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,16,Apartamento,Crítico
52795,Norte,RR,Boa Vista,1,10.5,52.17,39.13,Geladeira|Lâmpada Fluorescente|Micro-ondas,Refrigeração,17,Comercio,Crítico
52796,Norte,RR,Boa Vista,0,2.5,102.47,76.85,Geladeira|Fogão Elétrico|Ventilador,Refrigeração,11,Casa,Excelente
52798,Norte,RR,Boa Vista,0,1.1,94.32,70.74,Geladeira|TV|Ar-condicionado,Refrigeração,13,Casa,Excelente
52799,Norte,RR,Boa Vista,1,3.1,509.49,382.12,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,22,Comercio,Ruim
52800,Norte,RR,Boa Vista,1,6.6,901.92,676.44,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,32,Casa,Crítico
52801,Norte,RR,Boa Vista,1,10.6,124.9,93.68,Geladeira|Ventilador|TV,Refrigeração,15,Casa,Crítico
52803,Norte,RR,Boa Vista,0,0.8,440.59,330.44,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,24,Casa,Bom
52804,Norte,RR,Boa Vista,1,6.9,98.57,73.93,Geladeira|Ventilador|TV,Refrigeração,8,Comercio,Ruim
52806,Norte,RR,Boa Vista,1,0.8,117.36,88.02,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,19,Apartamento,Ruim
52807,Norte,RR,Boa Vista,1,2.1,102.33,76.75,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,14,Apartamento,Ruim
52808,Norte,RR,Boa Vista,1,3.4,152.77,114.58,Ventilador|Geladeira|TV,Climatização,16,Casa,Ruim
52809,Norte,RR,Boa Vista,1,5.1,116.05,87.04,Geladeira|Ventilador|TV,Refrigeração,22,Apartamento,Crítico
52811,Norte,RR,Boa Vista,1,7.2,136.46,102.34,Geladeira|Ar-condicionado|Fogão Elétrico,Refrigeração,15,Comercio,Crítico
52812,Norte,RR,Boa Vista,1,6.7,91.0,68.25,Geladeira|Ventilador|TV,Refrigeração,11,Comercio,Ruim
52814,Norte,RR,Boa Vista,0,6.8,79.74,59.8,Geladeira|Ventilador|TV,Refrigeração,10,Comercio,Bom
52815,Norte,RR,Boa Vista,1,0.1,276.46,207.34,Ar-condicionado|Ar-condicionado Split|Ventilador,Climatização,18,Apartamento,Ruim
52816,Norte,RR,Boa Vista,1,10.9,99.37,74.53,Geladeira|TV|Ventilador,Refrigeração,13,Comercio,Crítico
52817,Norte,RR,Boa Vista,1,5.5,637.7,478.28,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,27,Casa,Crítico
52818,Norte,RR,Boa Vista,1,1.8,138.16,103.62,Geladeira|TV|Ventilador,Refrigeração,12,Apartamento,Ruim
52819,Norte,RR,Boa Vista,1,9.0,59.13,44.35,Geladeira|Lâmpada Fluorescente|TV,Refrigeração,12,Apartamento,Crítico
52820,Norte,RR,Boa Vista,1,2.4,129.97,97.48,Geladeira|Ventilador|TV,Refrigeração,16,Casa,Ruim
52821,Norte,RR,Boa Vista,0,5.7,103.63,77.72,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,12,Apartamento,Bom
52822,Norte,RR,Boa Vista,1,0.8,162.19,121.64,Geladeira|Freezer|Ventilador,Refrigeração,13,Casa,Mediano
52823,Norte,RR,Boa Vista,0,11.7,242.91,182.18,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,12,Casa,Mediano
52824,Norte,RR,Boa Vista,1,9.3,245.17,183.88,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,17,Apartamento,Crítico
52825,Norte,RR,Boa Vista,1,5.1,69.41,52.06,Geladeira|Lâmpada Fluorescente|Fogão Elétrico,Refrigeração,18,Comercio,Ruim
52826,Norte,RR,Boa Vista,0,3.2,123.71,92.78,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,9,Casa,Excelente
52827,Norte,RR,Boa Vista,1,7.7,101.64,76.23,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,9,Casa,Ruim
52828,Norte,RR,Boa Vista,1,2.3,89.06,66.8,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,15,Casa,Ruim
52829,Norte,RR,Boa Vista,0,5.2,64.53,48.4,Ventilador|Frigobar|Lâmpada Fluorescente,Climatização,7,Comercio,Excelente
52830,Norte,RR,Boa Vista,0,11.9,87.73,65.8,Geladeira|Ventilador|Lâmpada LED,Refrigeração,9,Comercio,Mediano
52831,Norte,RR,Boa Vista,0,4.0,100.76,75.57,Geladeira|Ventilador|Lâmpada Incandescente,Refrigeração,9,Casa,Excelente
52832,Norte,RR,Boa Vista,1,8.0,105.81,79.36,Geladeira|Portão Elétrico|Lâmpada Incandescente,Refrigeração,18,Casa,Crítico
52833,Norte,RR,Boa Vista,1,3.0,120.29,90.22,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,12,Casa,Ruim
52834,Norte,RR,Boa Vista,1,0.1,122.48,91.86,Geladeira|TV|Fogão Elétrico,Refrigeração,17,Casa,Mediano
52835,Norte,RR,Boa Vista,1,1.7,153.8,115.35,Ventilador|Geladeira|TV,Climatização,15,Casa,Ruim
52836,Norte,RR,Boa Vista,1,1.8,49.62,37.21,Geladeira|Lâmpada LED|Ventilador,Refrigeração,16,Comercio,Mediano
52837,Norte,RR,Boa Vista,0,6.6,120.91,90.68,Geladeira|Freezer|Lâmpada Incandescente,Refrigeração,11,Apartamento,Bom
52838,Norte,RR,Boa Vista,0,10.5,84.45,63.34,Geladeira|Ventilador|Ferro de Passar,Refrigeração,9,Apartamento,Bom
52839,Norte,RR,Boa Vista,0,4.7,81.75,61.31,Geladeira|Notebook|Roteador Wi-Fi,Refrigeração,19,Casa,Bom
52840,Norte,RR,Boa Vista,1,10.6,106.22,79.66,Geladeira|Ventilador|Liquidificador,Refrigeração,20,Comercio,Crítico
52841,Norte,RR,Boa Vista,1,4.1,67.3,50.47,Geladeira|Lâmpada Fluorescente|Ar-condicionado,Refrigeração,13,Apartamento,Ruim
52842,Norte,RR,Boa Vista,0,1.8,21.84,16.38,TV|Lâmpada Fluorescente|Lâmpada LED,Tecnologia,7,Comercio,Excelente
52843,Norte,RR,Boa Vista,0,11.8,95.64,71.73,Geladeira|TV|Ventilador,Refrigeração,10,Casa,Mediano
52844,Norte,RR,Boa Vista,1,6.8,243.98,182.98,TV|Ventilador|Geladeira,Tecnologia,15,Casa,Crítico
52845,Norte,RR,Boa Vista,0,11.7,89.33,67.0,Geladeira|Ventilador|Lâmpada LED,Refrigeração,13,Comercio,Mediano
52846,Norte,RR,Boa Vista,1,0.6,276.95,207.71,Ar-condicionado|Ar-condicionado Split|Geladeira,Climatização,14,Casa,Mediano
52847,Norte,RR,Boa Vista,1,9.8,124.56,93.42,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,12,Casa,Crítico
52849,Norte,RR,Boa Vista,1,1.8,87.97,65.98,Geladeira|Lâmpada Incandescente|Ventilador,Refrigeração,9,Casa,Mediano
52850,Norte,RR,Boa Vista,1,7.2,183.91,137.93,Geladeira|TV|Ventilador,Refrigeração,11,Apartamento,Crítico
52851,Norte,RR,Boa Vista,1,2.3,68.8,51.6,Geladeira|Lâmpada Fluorescente|Fogão Elétrico,Refrigeração,19,Apartamento,Ruim
52852,Norte,RR,Boa Vista,0,1.3,129.57,97.18,Freezer|Ventilador|TV,Refrigeração,9,Casa,Excelente
52853,Norte,RR,Boa Vista,0,2.4,165.36,124.02,Geladeira|Freezer|Forno Elétrico,Refrigeração,22,Apartamento,Bom
52854,Norte,RR,Boa Vista,0,7.1,126.71,95.03,Geladeira|Freezer|Ventilador,Refrigeração,17,Comercio,Bom
52855,Norte,RR,Boa Vista,0,7.8,101.05,75.79,Geladeira|Ventilador|Lâmpada Incandescente,Refrigeração,9,Apartamento,Bom
52856,Norte,RR,Boa Vista,0,8.3,131.81,98.86,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,14,Casa,Bom
52857,Norte,RR,Boa Vista,0,2.4,68.91,51.68,Geladeira|Ar-condicionado|Ar-condicionado Split,Refrigeração,15,Apartamento,Excelente
52858,Norte,RR,Boa Vista,1,2.8,56.98,42.74,Frigobar|Ventilador|Lâmpada Fluorescente,Refrigeração,11,Comercio,Mediano
52861,Norte,RR,Boa Vista,1,4.8,139.46,104.6,Ventilador|Geladeira|Lâmpada Incandescente,Climatização,8,Apartamento,Ruim
52862,Norte,RR,Boa Vista,1,4.1,66.0,49.5,Geladeira|TV|Ventilador,Refrigeração,8,Comercio,Ruim
52863,Norte,RR,Boa Vista,1,9.2,114.26,85.7,Geladeira|Batedeira|Lâmpada Fluorescente,Refrigeração,23,Comercio,Crítico
52864,Norte,RR,Boa Vista,0,5.2,81.53,61.15,Geladeira|Lâmpada Fluorescente|Fogão Elétrico,Refrigeração,18,Apartamento,Bom
52865,Norte,RR,Boa Vista,1,10.5,88.98,66.74,Geladeira|TV|Fogão Elétrico,Refrigeração,18,Apartamento,Crítico
52866,Norte,RR,Boa Vista,0,2.0,65.76,49.32,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,18,Casa,Excelente
52867,Norte,RR,Boa Vista,0,0.1,143.84,107.88,Ventilador|Geladeira|Lâmpada LED,Climatização,12,Apartamento,Excelente
52868,Norte,RR,Boa Vista,0,6.9,100.62,75.46,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,15,Casa,Bom
52870,Norte,RR,Boa Vista,1,7.9,69.24,51.93,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,11,Casa,Crítico
52872,Norte,RR,Boa Vista,1,11.0,303.89,227.92,Ar-condicionado|Ar-condicionado Split|Bebedouro,Climatização,24,Apartamento,Crítico
52873,Norte,RR,Boa Vista,0,9.2,153.63,115.22,Ventilador|Geladeira|Roteador Wi-Fi,Climatização,15,Casa,Bom
52874,Norte,RR,Boa Vista,1,10.3,144.23,108.17,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,14,Comercio,Crítico
52875,Norte,RR,Boa Vista,1,0.7,82.73,62.05,Geladeira|Ar-condicionado|Ar-condicionado Split,Refrigeração,21,Apartamento,Ruim
52876,Norte,RR,Boa Vista,1,8.2,228.33,171.25,Ventilador|Geladeira|Freezer,Climatização,21,Casa,Crítico
52878,Norte,RR,Boa Vista,1,0.6,62.71,47.03,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,14,Apartamento,Mediano
52879,Norte,RR,Boa Vista,0,5.4,60.75,45.56,Geladeira|Lâmpada Fluorescente|TV,Refrigeração,12,Comercio,Excelente
52880,Norte,RR,Boa Vista,1,1.6,81.52,61.14,Geladeira|TV|Ventilador,Refrigeração,8,Casa,Mediano
52881,Norte,RR,Boa Vista,1,11.8,90.77,68.08,Geladeira|TV|Lâmpada Fluorescente,Refrigeração,13,Apartamento,Crítico
52882,Norte,RR,Boa Vista,1,0.3,56.27,42.2,Geladeira|Lâmpada Fluorescente|TV,Refrigeração,13,Apartamento,Mediano
52883,Norte,RR,Boa Vista,1,11.7,201.15,150.86,Ventilador|Geladeira|TV,Climatização,13,Comercio,Crítico
52884,Norte,RR,Boa Vista,1,4.9,82.5,61.88,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,13,Comercio,Ruim
